79-й Гвардейской Дивизии;79 Гвардейской Дивизии
5-й Армии;5 Армии
19-й Гвардейской Дивизии;19 Гвардейской Дивизии
проезд Вершинина;Вершинина проезд
2-й Новокузнечный ряд;Ново-Кузнечный 2-й ряд
проезд Белинского;Белинского проезд
1-я Рабочая;Рабочая 1-я
2-я Рабочая;Рабочая 2-я
посёлок Крутоовражный;Крутоовражный пос
Максима Горького;Горького
2-й Водяной переулок;Водяной 2-й переулок
1-й Водяной переулок;Водяной 1-й переулок
Рузского переулок;Рузского
Белозерская;Белозёрская
Томск-Северный МПС;Томск- Северный МПС
проезд Куйбышева;Куйбышева проезд
3-я Рабочая;Рабочая 3-я
2-я Ново-Деповская;Ново-Деповская 2-я
1-й Вилюйский проезд;Вилюйский 1-й проезд
3-я Заречная;Заречная 3-я
2-я Заречная;Заречная 2-я
1-я Заречная;Заречная 1-я
4-я Заречная;Заречная 4-я
5-я Заречная;Заречная 5-я
2-й Казанский переулок;Казанский 2-й переулок
1-й Казанский переулок;Казанский 1-й переулок
Белозерский переулок;Белозёрский переулок
Березовский переулок;Берёзовский переулок
1-я  Усть-Киргизка;Усть-Киргизка 1-я
2-я  Усть-Киргизка;Усть-Киргизка 2-я
1-я Мостовая;Мостовая 1-я
2-й Усть-Киргизский тупик;Усть-Киргизский 2-й тупик
4-я  Усть-Киргизка;Усть-Киргизка 4-я
3-я  Усть-Киргизка;Усть-Киргизка 3-я
1-й Мостовой переулок;Мостовой 1-й переулок
1-я Степная;Степная 1-я
2-я Степная;Степная 2-я
3-я Степная;Степная 3-я
Угольный посёлок;Угольный пос
Старо-Карьерный посёлок;Старо-Карьерный пос
проезд Дружбы;Дружбы
посёлок Нефтяной;Нефтяной пос
30-летия Победы;30 лет Победы
Академика Зуева площадь;Зуева площадь
Тараса Шевченко;Шевченко
19-й Гвардейской дивизиии;19 Гвардейской Дивизии
6-я  Усть-Киргизка;Усть-Киргизка 6-я
1-я Лесная;Лесная 1-я
3-я Лесная;Лесная 3-я
2-я Лесная;Лесная 2-я
1-й Алеутский переулок;Алеутский 1-й переулок
посёлок Мясокомбинат;Мясокомбинат пос
посёлок Хромовка;Хромовка пос
Михаила Сычёва;Сычёва Михаила
Красного Пожарника переулок;Красного Пожарника
В. Болдырева;Василия Болдырева
16-й Радиостанции;Радиостанция №16
